"","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"2167",0.6518482,0.021394013,1,0.24,0.16,0.6
"2168",0.6184291,0.025864218,1,0.14,0.24,0.62
"2169",0.3512813,0.017211677,1,0.34,0.26,0.4
"2170",0.2939291,0.007067675,1,0.63,0.16,0.21
"2171",0.4985762,0.021593462,1,0.17,0.32,0.51
"2172",0.4159906,0.0029070228,1,0.53,0.11,0.36
"2173",0.4210599,0.0112815213,1,0.44,0.17,0.39
"2174",0.4860058,0.0243220748,1,0.21,0.35,0.44
"2175",0.6198488,0.0173095369,1,0.19,0.17,0.64
"2176",0.2604442,0.0008215886,1,0.67,0.03,0.3
"2177",0.2389239,0.0063369158,1,0.67,0.1,0.23
"2178",0.3954481,0.0062049893,1,0.45,0.11,0.44
"2179",0.3953589,0.0144556491,1,0.47,0.23,0.3
"2180",0.4953582,0.0216398716,1,0.17,0.33,0.5
"2181",0.3729197,0.009166379,1,0.36,0.24,0.4
"2182",0.5590753,0.010657003,1,0.27,0.15,0.58
"2183",0.506247,0.002758309,1,0.46,0.05,0.49
"2184",0.6034365,0.007492427,1,0.31,0.09,0.6
"2185",0.4336189,0.020352893,1,0.29,0.24,0.47
"2186",0.3635636,0.016034544,1,0.38,0.3,0.32
"2187",0.4530004,0.006846744,1,0.39,0.19,0.42
"2188",0.4731511,0.021464899,1,0.22,0.22,0.56
"2189",0.2167987,0.009666892,1,0.46,0.26,0.28
"2190",0.4220132,0.003079533,1,0.44,0.06,0.5
"2191",0.6036739,0.028668691,1,0.15,0.25,0.6
"2192",0.5057363,0.020925904,1,0.25,0.27,0.48
"2193",0.566247,0.010688202,1,0.22,0.17,0.61
"2194",0.2032542,0.005863231,1,0.54,0.23,0.23
"2195",0.5428919,0.00553895,1,0.41,0.06,0.53
"2196",0.294974,0.015141051,1,0.42,0.27,0.31
"2197",0.5007787,0.017346851,1,0.18,0.31,0.51
"2198",0.3819931,0.020827237,1,0.22,0.36,0.42
"2199",0.6516848,0.023458031,1,0.16,0.31,0.53
"2200",0.4962084,0.009527715,1,0.32,0.18,0.5
"2201",0.5517442,0.004249205,1,0.5,0.03,0.47
"2202",0.6125721,0.038821646,1,0.14,0.3,0.56
"2203",0.4847122,0.025268107,1,0.15,0.28,0.57
"2204",0.4473517,0.019915938,1,0.21,0.33,0.46
"2205",0.3124963,0.013258155,1,0.42,0.22,0.36
"2206",0.4407082,0.016307309,1,0.33,0.24,0.43
"2207",0.2697855,0.009956645,1,0.47,0.24,0.29
"2208",0.5548244,0.02298894,1,0.23,0.34,0.43
"2209",0.3261843,0.008533518,1,0.46,0.18,0.36
"2210",0.230714,0.012323658,1,0.42,0.22,0.36
"2211",0.5626772,0.030483895,1,0.14,0.3,0.56
"2212",0.463021,0.01743881,1,0.26,0.24,0.5
"2213",0.3996338,0.02042073,1,0.26,0.3,0.44
